onet_code,onet_title
17-2061.00,Computer Hardware Engineers
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
43-4151.00,Order Clerks
11-9041.00,Architectural and Engineering Managers
43-5011.01,Freight Forwarders
15-1212.00,Information Security Analysts
43-9021.00,Data Entry Keyers
15-1244.00,Network and Computer Systems Administrators
15-1243.00,Database Architects
15-1242.00,Database Administrators
39-3011.00,Gambling Dealers
13-1081.02,Logistics Analysts
27-1021.00,Commercial and Industrial Designers
17-2141.00,Mechanical Engineers
27-3041.00,Editors
11-3131.00,Training and Development Managers
19-3032.00,Industrial-Organizational Psychologists
15-1299.04,Penetration Testers
47-5012.00,"Rotary Drill Operators, Oil and Gas"
11-1011.00,Chief Executives
35-9021.00,Dishwashers
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
11-3071.00,"Transportation, Storage, and Distribution Managers"
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
29-1218.00,Obstetricians and Gynecologists
15-1299.03,Document Management Specialists
27-3042.00,Technical Writers
17-2171.00,Petroleum Engineers
53-3053.00,Shuttle Drivers and Chauffeurs
13-1041.07,Regulatory Affairs Specialists
11-3051.06,Hydroelectric Production Managers
11-9032.00,"Education Administrators, Kindergarten through Secondary"
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
47-2111.00,Electricians
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
49-9064.00,Watch and Clock Repairers
17-2199.08,Robotics Engineers
29-2042.00,Emergency Medical Technicians
47-4011.01,Energy Auditors
17-3022.00,Civil Engineering Technologists and Technicians
17-3031.00,Surveying and Mapping Technicians
11-9199.11,Brownfield Redevelopment Specialists and Site Managers
19-5011.00,Occupational Health and Safety Specialists
19-2041.00,"Environmental Scientists and Specialists, Including Health"
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
17-2112.03,Manufacturing Engineers
23-2093.00,"Title Examiners, Abstractors, and Searchers"
13-1121.00,"Meeting, Convention, and Event Planners"
19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
11-9051.00,Food Service Managers
11-3013.00,Facilities Managers
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
51-6031.00,Sewing Machine Operators
39-5092.00,Manicurists and Pedicurists
53-1044.00,First-Line Supervisors of Passenger Attendants
39-1013.00,First-Line Supervisors of Gambling Services Workers
41-9012.00,Models
43-5071.00,"Shipping, Receiving, and Inventory Clerks"
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
35-3041.00,"Food Servers, Nonrestaurant"
35-2021.00,Food Preparation Workers
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
51-9198.00,Helpers--Production Workers
43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
15-1254.00,Web Developers
15-1255.01,Video Game Designers
51-9197.00,Tire Builders
17-1022.01,Geodetic Surveyors
43-9031.00,Desktop Publishers
27-1024.00,Graphic Designers
41-1011.00,First-Line Supervisors of Retail Sales Workers
39-1022.00,First-Line Supervisors of Personal Service Workers
11-9081.00,Lodging Managers
19-5012.00,Occupational Health and Safety Technicians
47-5041.00,Continuous Mining Machine Operators
11-9131.00,Postmasters and Mail Superintendents
25-9021.00,Farm and Home Management Educators
27-3011.00,Broadcast Announcers and Radio Disc Jockeys
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
37-2012.00,Maids and Housekeeping Cleaners
11-3121.00,Human Resources Managers
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
43-3051.00,Payroll and Timekeeping Clerks
13-1071.00,Human Resources Specialists
27-2012.04,Talent Directors
43-2011.00,"Switchboard Operators, Including Answering Service"
11-3021.00,Computer and Information Systems Managers
15-1299.05,Information Security Engineers
11-1011.03,Chief Sustainability Officers
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
45-2011.00,Agricultural Inspectors
47-1011.03,Solar Energy Installation Managers
47-2053.00,Terrazzo Workers and Finishers
25-9031.00,Instructional Coordinators
25-1032.00,"Engineering Teachers, Postsecondary"
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
41-3021.00,Insurance Sales Agents
27-1025.00,Interior Designers
33-3021.00,Detectives and Criminal Investigators
13-2099.04,"Fraud Examiners, Investigators and Analysts"
27-3023.00,"News Analysts, Reporters, and Journalists"
35-2015.00,"Cooks, Short Order"
51-9082.00,Medical Appliance Technicians
51-9083.00,Ophthalmic Laboratory Technicians
13-1075.00,Labor Relations Specialists
29-2012.00,Medical and Clinical Laboratory Technicians
37-3013.00,Tree Trimmers and Pruners
23-1012.00,Judicial Law Clerks
41-2021.00,Counter and Rental Clerks
25-1054.00,"Physics Teachers, Postsecondary"
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
49-9052.00,Telecommunications Line Installers and Repairers
43-4131.00,Loan Interviewers and Clerks
13-1081.00,Logisticians
43-5011.00,Cargo and Freight Agents
13-1081.01,Logistics Engineers
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
51-4041.00,Machinists
51-8021.00,Stationary Engineers and Boiler Operators
49-9071.00,"Maintenance and Repair Workers, General"
49-9043.00,"Maintenance Workers, Machinery"
51-8013.00,Power Plant Operators
39-5091.00,"Makeup Artists, Theatrical and Performance"
11-3051.00,Industrial Production Managers
11-3051.03,Biofuels Production Managers
51-8099.01,Biofuels Processing Technicians
11-9199.01,Regulatory Affairs Managers
11-3071.04,Supply Chain Managers
17-2131.00,Materials Engineers
49-9041.00,Industrial Machinery Mechanics
49-9044.00,Millwrights
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
41-3011.00,Advertising Sales Agents
29-1071.00,Physician Assistants
29-1229.01,Allergists and Immunologists
29-2011.00,Medical and Clinical Laboratory Technologists
19-1022.00,Microbiologists
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
41-2031.00,Retail Salespersons
39-9011.01,Nannies
15-1241.01,Telecommunications Engineering Specialists
15-1299.08,Computer Systems Engineers/Architects
29-1141.01,Acute Care Nurses
29-1122.00,Occupational Therapists
53-2022.00,Airfield Operations Specialists
29-2081.00,"Opticians, Dispensing"
53-7064.00,"Packers and Packagers, Hand"
23-2011.00,Paralegals and Legal Assistants
29-2043.00,Paramedics
41-2022.00,Parts Salespersons
31-9095.00,Pharmacy Aides
29-2052.00,Pharmacy Technicians
31-9097.00,Phlebotomists
51-9151.00,Photographic Process Workers and Processing Machine Operators
27-4021.00,Photographers
17-2072.01,Radio Frequency Identification Device Specialists
29-1123.00,Physical Therapists
53-2012.00,Commercial Pilots
47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
43-4111.00,"Interviewers, Except Eligibility and Loan"
11-3051.02,Geothermal Production Managers
53-3054.00,Taxi Drivers
41-9031.00,Sales Engineers
51-9011.00,Chemical Equipment Operators and Tenders
17-2031.00,Bioengineers and Biomedical Engineers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-3061.00,Procurement Clerks
27-2012.00,Producers and Directors
51-1011.00,First-Line Supervisors of Production and Operating Workers
51-5111.00,Prepress Technicians and Workers
43-5061.00,"Production, Planning, and Expediting Clerks"
25-1123.00,"English Language and Literature Teachers, Postsecondary"
27-2012.03,Media Programming Directors
19-3041.00,Sociologists
11-9141.00,"Property, Real Estate, and Community Association Managers"
19-4099.01,Quality Control Analysts
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
11-3051.01,Quality Control Systems Managers
17-2112.02,Validation Engineers
17-2199.09,Nanosystems Engineers
17-2199.07,Photonics Engineers
19-2032.00,Materials Scientists
53-6032.00,Aircraft Service Attendants
41-9022.00,Real Estate Sales Agents
13-2071.00,Credit Counselors
43-3011.00,Bill and Account Collectors
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
19-3011.00,Economists
19-3093.00,Researchers
19-1021.00,Biochemists and Biophysicists
19-1011.00,Animal Scientists
17-3026.01,Nanotechnology Engineering Technologists and Technicians
39-9041.00,Residential Advisors
49-9096.00,Riggers
29-2061.00,Licensed Practical and Licensed Vocational Nurses
33-1012.00,First-Line Supervisors of Police and Detectives
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
27-1022.00,Fashion Designers
11-3013.01,Security Managers
13-1199.07,Security Management Specialists
33-9032.00,Security Guards
33-9031.00,Gambling Surveillance Officers and Gambling Investigators
43-5031.00,Public Safety Telecommunicators
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
49-9011.00,Mechanical Door Repairers
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
11-9199.09,Wind Energy Operations Managers
21-1093.00,Social and Human Service Assistants
35-1011.00,Chefs and Head Cooks
53-1041.00,Aircraft Cargo Handling Supervisors
15-2041.00,Statisticians
53-6061.00,Passenger Attendants
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
11-2033.00,Fundraising Managers
17-2011.00,Aerospace Engineers
19-2011.00,Astronomers
43-4121.00,"Library Assistants, Clerical"
25-9044.00,"Teaching Assistants, Postsecondary"
25-3031.00,"Substitute Teachers, Short-Term"
17-1022.00,Surveyors
13-2082.00,Tax Preparers
25-2032.00,"Career/Technical Education Teachers, Secondary School"
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
47-4099.03,Weatherization Installers and Technicians
51-6092.00,Fabric and Apparel Patternmakers
17-2199.11,Solar Energy Systems Engineers
49-3093.00,Tire Repairers and Changers
13-1151.00,Training and Development Specialists
25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
17-3029.01,Non-Destructive Testing Specialists
39-2011.00,Animal Trainers
27-3091.00,Interpreters and Translators
41-3041.00,Travel Agents
53-3033.00,Light Truck Drivers
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
27-4032.00,Film and Video Editors
35-3031.00,Waiters and Waitresses
51-4121.00,"Welders, Cutters, Solderers, and Brazers"
47-5013.00,"Service Unit Operators, Oil and Gas"
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
